ID_Candidato,Nombre,Edad,Experiencia_Laboral,Educacion,Ajuste_Cultural,Liderazgo,Trabajo_en_Equipo,Resolucion_de_Problemas,Adaptabilidad,Pensamiento_Critico,Innovacion
1,Albano Llopis Hierro,58,9,Técnico,0.9724845622761592,0.04231285601523638,92.15191923374212,74.46338072685457,27.222583540336785,13.881475675018496,21.16444562248555
2,Buenaventura de Bonet,48,6,Universitario,0.06826586585550098,6.63511719879809,29.996345088149113,1.9901435400606737,1.3235265284380127,64.92931300478861,63.64128615773994
3,Ileana Antón-Andrés,34,3,Técnico,0.417917684831438,4.488841157708812,57.91405007134392,92.46909356939317,32.346871894219994,90.93101358098352,46.8792771769709
4,César Guerrero Vazquez,27,18,Secundaria,0.24589793352648104,82.26562836884254,94.02191043158506,83.01377644387733,0.9705960402128788,11.45364549599851,86.53047284828054
5,Alba Mar Flor Rivas,40,9,Doctorado,0.47671193185681415,83.6737569944919,71.93225538047201,27.45794074330027,54.359121089683924,58.9253965664922,28.49884186189452
6,Jacobo del Agudo,58,2,Secundaria,0.9204723006138882,72.67000841845227,6.232550238407731,55.27435048366303,37.8248292859848,8.493949141798495,36.50979193882532
7,Paco Rocamora Nieto,38,18,Doctorado,0.7239842652481513,35.27450125170921,37.873714726043886,61.500592995316715,81.3942740857086,81.21629440118863,52.805012226072854
8,Casemiro Garrido-Navarro,42,1,Universitario,0.6619495864798933,82.12544498888423,8.57727560872884,13.194502911624506,79.75853524908175,90.93059135717026,46.001684867900636
9,Arturo Pinto Caballero,30,19,Técnico,0.4412458764311774,53.9774520242882,86.13175961991742,25.396337685712744,43.46384932986636,62.87943032244334,54.776128988273655
10,Soraya Núñez Lamas,30,9,Técnico,0.6711124983744359,30.431027647992327,62.166270120361546,2.325043528415205,21.648527358582303,68.83431025412797,31.208834074068704
11,Pánfilo Segovia Casanovas,43,1,Universitario,0.03237537727440809,43.72767691143904,95.63817448338857,86.39517200542653,42.242986594229706,5.543646461202256,16.667107634504895
12,Ani Marcos Pardo,55,1,Maestría,0.5862386720298944,6.576776983457567,1.9756329185807164,2.4905069746200437,64.13177325436293,7.29771868860829,80.33156490423752
13,Celia Baños-Arroyo,59,16,Secundaria,0.5537765625992482,94.49086867499136,42.308736985390425,31.869583786086697,19.020598157290735,17.96705559927201,3.9295255581213717
14,Rolando del Bernal,43,15,Secundaria,0.34664043196319283,61.911641735184006,10.436409954439474,7.82464929462231,77.30466155703029,27.382846733187726,36.970537749170475
15,Toribio de Pinto,22,15,Técnico,0.2015141254241084,73.12341449305728,35.04878226199127,78.14059261710523,33.05602104352738,75.98561168398538,8.740188095081658
16,Javi Patiño-Cánovas,41,13,Técnico,0.807555550999301,67.65833704198766,16.1886823356587,92.49827730711878,93.21769949174093,43.542924701289905,73.63284263050492
17,Felicidad Gallego Lasa,21,6,Técnico,0.05386211445509648,66.77499845209806,32.87937599934202,56.28156198177924,51.18705302746079,7.824968674669652,36.5513144601599
18,Marco Donoso Hierro,43,10,Universitario,0.06967286442358778,1.726098549724009,81.92620047220291,13.956681730832166,84.71265341297222,85.26450622846845,3.004970292369702
19,Jerónimo Pino Lerma,49,0,Maestría,0.44052174398414656,52.53712797848466,16.069932648270356,55.81608582861015,61.58925802966026,99.38267025769612,7.587535977331417
20,Constanza del Barba,57,10,Secundaria,0.25255454740860506,82.17102286255341,47.366475695218824,77.03412394526786,55.460184377873766,45.502629270506,19.859861578391367
21,Segismundo de Moles,21,3,Doctorado,0.7454524135070204,4.451885141159995,92.15831340605264,71.84162052263005,68.21301334851123,51.176400557557145,78.69155321362513
22,Edelmira Batalla Galván,40,6,Universitario,0.634190076921191,95.61656838882706,99.87792878543064,74.17190058665551,81.14911237077608,7.850943920096509,79.9188405082352
23,Valentina Miranda-Garcia,52,14,Secundaria,0.7725347961266315,42.41596830059892,25.064111817508326,27.917384255347766,64.45075044097362,38.301743088729765,99.66125552840315
24,Gertrudis Segarra Clavero,31,17,Maestría,0.3246789563378011,28.989549205137124,93.55681707661002,7.3737522584242265,79.72406871917023,37.18043598901165,24.09232838169011
25,Buenaventura Huerta-Jódar,41,11,Universitario,0.7405189396178674,53.18213616419428,26.13886808010255,14.896363854845019,19.0465164459513,96.57915129815576,6.043705302360558
26,Inés Pujol-Paredes,44,16,Secundaria,0.8623032360263989,80.12141878430363,41.35284989835933,95.55064850789407,27.75165403748011,66.04315091602633,28.31308276937845
27,Bruno del Bou,46,0,Universitario,0.3452744944185717,47.47550617686376,87.79236122333273,61.351398709598115,22.97228215873067,78.21831602469214,17.881999748448596
28,Tito Canals Coronado,47,10,Secundaria,0.33989582116183337,64.51056765863919,78.61761049242482,72.78996058639255,79.83031878145758,12.833205059808927,71.03879989153981
29,Ruy Roca Bartolomé,35,0,Secundaria,0.8999514039064263,49.99143878668599,85.74875572237353,89.9064591780606,8.612855885707582,41.692688174267865,96.9240387773468
30,Francisca Solé Ángel,34,14,Maestría,0.04979025318770913,63.12722566411592,80.02566793044507,85.27545665512919,79.58631974417281,19.155280230723072,27.302502680833097
31,Leonel Alberdi-Carbó,22,9,Doctorado,0.35018940573084434,13.803091519663656,23.506100501004134,21.840184971911903,38.90422998145217,86.0188978284138,32.86330827811689
32,Pili del Nieto,56,6,Maestría,0.11867249207180408,3.8663386178099945,55.87951154306021,5.80600446087537,7.950716201739549,15.237237525780056,35.11161718503614
33,Eugenio Royo Cruz,26,1,Secundaria,0.028980590249976235,13.690140569739274,38.52507183619219,92.51282008634585,42.442626152646234,43.88712190028592,85.69537581006843
34,Abril Lago Valle,40,9,Universitario,0.11286941764682212,28.583814466392877,45.971096844836865,98.1668292637757,30.05023005338513,5.365028175375408,57.801884073591324
35,José Luis Camino Martín,28,3,Maestría,0.43124579118027695,25.335606244810684,15.395630212363077,56.73441935139753,59.19521827826496,63.429429420043846,97.39763961037055
36,María Fernanda Flor,58,11,Doctorado,0.6869560692277907,61.51753496606469,31.57675592251705,88.84019148377796,47.25266330938129,48.19247499477609,62.71621744785693
37,Glauco Cuéllar Abascal,37,18,Secundaria,0.28928242444196295,45.58894241342409,85.76471214221868,23.181604971475334,29.67773910883501,49.79667724401114,70.58822039082193
38,Etelvina Laura Aliaga Caparrós,23,10,Maestría,0.8496753074011247,3.881198102684702,89.7558409886164,11.103870458985131,86.22659444055155,10.16189105917763,8.91672042184859
39,Valeria Meléndez Heras,44,7,Maestría,0.43761562873835,3.4865906317025575,61.015308389913855,49.98169374084141,40.68214248455689,51.398118521706884,95.168035624424
40,Dionisio Bermúdez Boada,33,17,Maestría,0.9682280509617436,9.058800212066576,49.82672570007528,81.1183419483786,47.068999180177876,56.37834907825556,62.805649074513305
41,Sabina Bayón Casas,28,10,Maestría,0.9541556694437,35.3081157400866,71.28396881493003,65.46536232403324,84.66285247524577,96.28400866773323,52.01806600696012
42,Narciso Talavera Dalmau,45,10,Universitario,0.7732762226668151,0.618295096372945,60.88532502222023,63.732016814376536,8.905660834402129,3.3222683285506482,38.74037840695285
43,Juan Luis Rocha-Galán,21,12,Doctorado,0.9324054961466182,49.398726543014035,98.36750063478135,1.7458908225166159,38.98931417777447,92.27136094915632,7.705001242247667
44,Priscila de Mesa,39,2,Doctorado,0.7070960761611116,36.06696643093027,19.008879216420326,31.749289236509128,40.28566865283898,47.956445793158466,13.334700517036957
45,Nazaret Perea Ríos,47,11,Secundaria,0.8955831899911814,55.54413024408264,44.904472624648164,93.94957865224814,49.58256551566834,21.01145254909742,1.1695196926140294
46,Jennifer Carrillo,26,2,Técnico,0.2364737173663065,72.08252280828007,91.82405022855536,13.427353951692345,10.61205923594053,66.55460829512252,99.86924846668508
47,Daniel de Neira,27,9,Universitario,0.34542020017679864,25.09728154798544,91.47370599085242,72.63659451871543,10.266012124955138,51.70522172529597,78.62896224242424
48,Macario Grau Giménez,54,16,Secundaria,0.7529300660048616,15.70836476289097,49.534684656117356,75.93111538080446,41.641595576591584,22.67550164297282,79.74519440782282
49,Andrés Felipe Barral Granados,33,1,Secundaria,0.4245612382065571,27.805355596338753,13.480900200138146,73.28332431922887,3.302900834672784,62.68268458355672,73.00902381384468
50,Víctor Angulo Murillo,36,16,Maestría,0.8373274338245179,0.17631819519055014,81.49579674929025,98.92848941001763,25.49843590596351,47.32622751848782,48.41060420895753
51,José Ángel Gárate Lopez,55,15,Técnico,0.8776388715877751,12.001295552578073,58.51651865033476,40.920821135192476,20.117675377156363,68.90146183619537,8.819719211559018
52,Clotilde Catalán Suárez,59,1,Técnico,0.29972948472092487,75.08303636863344,77.31660158572568,68.21933922090193,48.93862613235748,68.90769281293926,7.226904139913881
53,Ruben del Ramírez,23,19,Universitario,0.8234508081895735,22.280684240028513,46.25236314105903,19.365511338380237,1.1159557218210603,47.281531901090425,91.63742369855879
54,Asdrubal Caballero,21,5,Técnico,0.15426427106515006,99.42996338040386,20.38839219368266,39.9709915871088,67.57334502639705,39.07962109216416,0.03144519538466062
55,Felicidad Roda Reig,25,9,Secundaria,0.33419671153684904,16.783152136480915,2.398940747952083,49.15606024331265,85.5587307130736,6.324424142701757,69.9102858920885
56,Teresa Balaguer Cabello,23,9,Técnico,0.517964951121389,78.87717155654934,55.91382688397522,21.482754110002556,70.67415182393043,49.384659796084286,62.857841552960814
57,Heriberto Nicolau Canales,48,7,Técnico,0.22644376210389217,70.50444718255345,16.104617888158955,90.68107423588597,81.80781693620001,24.311502908842808,50.12253451433124
58,Clemente de Sanabria,37,0,Doctorado,0.5792678295751993,32.21321428163076,18.713720859782146,71.61978304673625,64.33164037981865,5.324746462565145,97.49505870371958
59,Héctor Español Lopez,45,12,Secundaria,0.5786950787176466,33.073914356596525,43.63056309571643,28.375776809249476,50.73670343891416,33.03802304374352,19.812835496199334
60,Diana Benet Salazar,53,8,Técnico,0.20690289485090574,56.355158096710454,44.20770734388978,13.495643929759426,21.90215973096674,8.74690187278051,78.5286450874341
61,Ariel de Alcolea,29,9,Técnico,0.7956413448854567,85.23740974825584,27.438709020570528,28.78673284225077,27.96263476828641,57.97418229285689,67.4839191716105
62,Renato Guzmán Delgado,55,14,Maestría,0.6316444894114969,38.61869441194644,13.192220842346847,62.298538224308444,31.77080037195177,50.36690647130766,97.44317972311522
63,Julieta Teruel García,33,4,Técnico,0.31776050682495427,6.117988091840654,94.49527518223377,82.64086383102858,3.801766946648377,79.24289973960876,93.40718261923627
64,Yaiza Barral Cózar,50,15,Técnico,0.23218478347029192,37.44191769022967,13.164061587825993,50.316825705516045,91.30887714119002,26.76335436392496,12.857128017681262
65,Abril Portero Lara,34,12,Doctorado,0.8787501388344935,20.73126732427414,35.07725846011295,10.249467350451402,90.0302702633374,37.15290654700028,30.771646411357125
66,Eloísa Rocha Torrecilla,27,19,Secundaria,0.8357422452246527,93.92070170650175,30.486799260744625,24.931486641109025,10.777784952995518,68.89503886384063,85.08001209548208
67,Claudio Martin Gelabert,33,17,Universitario,0.22976067485552631,69.72743463759475,86.63378969585519,34.514391938955235,55.66935655500531,99.29445202315115,22.86605050834324
68,Luis Miguel Barrera Mir,42,10,Secundaria,0.03560522651650877,5.083266421334864,41.006244847857054,63.613625371102664,46.76412942038358,90.41697574464546,37.85395476997311
69,Amador Tapia Valverde,59,8,Maestría,0.8045325957431239,29.298853726260642,12.404349923436431,24.664337536167523,68.34139970419953,52.08248984434779,62.59638666583891
70,Camila Barberá,40,15,Secundaria,0.6155085552650431,5.021596492080693,1.0261028404495387,23.39283926538919,60.30176605383345,67.79472958666139,56.291392779068
71,Anita Estevez,35,1,Técnico,0.1008820280534597,83.0016670374786,72.19496034745248,28.620186862119425,12.432180117933079,53.19223265759791,64.06065598063914
72,Manuel Bayo Gutierrez,37,1,Maestría,0.5873582062188951,90.62964019071609,71.45010925678503,59.25290444535489,66.00776449617956,43.48055319044622,71.34881644373749
73,Azeneth Hoz Ariño,43,11,Secundaria,0.45218268536169426,11.227960583907437,41.77836713132277,49.26302839421671,60.887230395603765,60.229768953829634,72.87699904132823
74,Anita Hortensia Yáñez Molina,45,7,Maestría,0.7745503274736916,44.02900460086961,12.630800031232358,84.16359533024408,53.12236379738056,38.64992253255707,73.75575968218767
75,Cristian Miralles-Gómez,44,8,Universitario,0.20908484215873002,93.18832818364258,37.163381257274786,69.79323144133129,40.24062665732268,28.01883557410607,99.16767800559539
76,Hector Castro-Marín,48,11,Secundaria,0.4531567443050265,14.521168671467056,58.988245091703085,66.68218719563306,95.49209940531644,70.56739028016847,35.65872716308053
77,Estela Belmonte Agustí,34,8,Técnico,0.15624411425191675,29.190359065631487,70.3942941806841,15.465006200461362,84.94395613111159,87.19734128806962,4.418636171602031
78,María Ángeles Cabo Beltrán,20,9,Maestría,0.9575272278108466,30.427465017265586,7.82398924342762,5.522779861218574,58.50849749199203,28.802430605064856,34.886201437907204
79,Clotilde del Cazorla,44,1,Doctorado,0.7787381569251641,3.0058312201998505,55.6307470614679,50.999886455927154,0.6377825267616433,70.68916177388871,91.15759289648476
80,Vera Bayona Hidalgo,26,15,Maestría,0.7367224265013965,3.6273234689990663,27.61240784481376,7.164166537153616,43.212324216977315,43.401900369125066,8.338888564098568
81,Elodia Cruz Ríos,28,19,Doctorado,0.690206665020802,95.27928270829129,61.72662871336426,36.401791592633636,70.03397285500989,30.208503718458058,64.69422171906784
